analysis_id,89907e329b083e6
mouse_strain,129SV
parameter_name,Creatinine
mouse_life_stage,Early adult
gene_symbol,Ddx27
pvalue,0.6349879
gene_accession_id,MGI:2385884
parameter_id,IMPC_CBC_005_001
