parameter_name,center - resting time
parameter_id,M-G-P_007_001_011
analysis_id,8946zni3iviqn55
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Bcs1l
pvalue,0.4772923
gene_accession_id,MGI:1914071
