gene_symbol,CDS2
pvalue,0.8627109
analysis_id,39n824h102r6i3m
mouse_strain,129SV
parameter_id,IMPC_ECH_001_001
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
parameter_name,End-Systolic Diameter
