parameter_name,Snout size
gene_symbol,Lcn2
parameter_id,IMPC_CSD_028_001
mouse_strain,C57BL
pvalue,0.8679211
analysis_id,pkq9721d18i79ci
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
