analysis_id,zjq82w0alb17sm7
mouse_strain,C57BL
pvalue,0.2621296
gene_accession_id,MGI:2446274
parameter_name,B2B Cells
gene_symbol,Frmpd1
parameter_id,IMPC_IMM_065_001
mouse_life_stage,Late adult
