analysis_id,8w6y6g373d87qu0
gene_accession_id,MGI:1332236
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_008_001
gene_symbol,Cds2
pvalue,0.2609744
parameter_name,ST
