parameter_name,Fusion of vertebrae
gene_symbol,Dmap1
mouse_life_stage,Early adult
pvalue,0.6217754
gene_accession_id,MGI:1913483
analysis_id,98xa5638jcu53i6
mouse_strain,C57BL
parameter_id,M-G-P_006_001_026
