parameter_id,IMPC_GEO_064_001
analysis_id,iy372z3083e34s4
mouse_strain,C57BL
gene_symbol,Zcchc2
pvalue,0.3596509
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
parameter_name,Edema
