parameter_name,Prepulse inhibition - PP2
parameter_id,ESLIM_011_001_702
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
mouse_strain,C57BL
pvalue,0.7971567
analysis_id,4w050qwsl7og0j2
gene_symbol,Cpa3
