parameter_name,lens opacity
mouse_life_stage,E12.5
gene_symbol,Tiprl
analysis_id,g963nhq13ii2fx3
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:1915087
mouse_strain,C57BL
pvalue,0.2275885
