analysis_id,894p65bq1221rqq
parameter_name,Limb grasping
gene_accession_id,MGI:2385884
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
pvalue,0.4023728
mouse_life_stage,Early adult
gene_symbol,Ddx27
