gene_symbol,Hrnr
parameter_name,Eye
pvalue,0.4548808
mouse_strain,C57BL
analysis_id,57jm414l8j0s6f4
parameter_id,M-G-P_013_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
