analysis_id,r6i3c3zg802p7t4
pvalue,0.8642471
mouse_strain,C58BL
mouse_life_stage,Early adult
gene_symbol,Gfi1b
parameter_name,Creatinine
parameter_id,JAX_URI_002_001
gene_accession_id,MGI:1276578
