analysis_id,61ns2xx0p6kvyq8
parameter_id,JAX_OFD_022_001
mouse_life_stage,Early adult
parameter_name,Percentage center time
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
pvalue,0.3637315
mouse_strain,129SV
