gene_symbol,Ncaph
mouse_strain,C57BL
pvalue,0.6953
gene_accession_id,MGI:2444777
parameter_id,TCPLA_XRY_033_001
analysis_id,wd648qp754vk2cq
parameter_name,Tibia length
mouse_life_stage,Early adult
