parameter_name,Corneal opacity
analysis_id,nc2njr046ue3089
gene_symbol,Car13
parameter_id,IMPC_EYE_008_001
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
pvalue,0.2593663
mouse_strain,C57BL
