analysis_id,5w174m9f92pq326
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_008_001
parameter_name,ST
gene_symbol,Ap5s1
pvalue,0.7798367
mouse_strain,C57BL
gene_accession_id,MGI:1916846
