gene_symbol,Psd4
gene_accession_id,MGI:2674093
pvalue,0.239252
analysis_id,to60e3krvu49h83
parameter_name,Limb grasping
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_017
