mouse_life_stage,E15.5
mouse_strain,C57BL
parameter_name,BMC/Body weight
pvalue,0.5776153
gene_symbol,Bmi1
parameter_id,JAXLA_DXA_007_001
analysis_id,lpjs5el1s1oc596
gene_accession_id,MGI:88174
