analysis_id,7909qr586zq3w1b
parameter_id,HRWLLA_OFD_011_001
gene_symbol,Fgb
parameter_name,Periphery resting time
mouse_strain,C57BL
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
pvalue,0.785415
