analysis_id,r845d673q75vlui
parameter_id,MGP_IMM_027_001
gene_symbol,Ift74
mouse_life_stage,Early adult
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1914944
pvalue,0.4725504
mouse_strain,C57BL
