parameter_name,Follicular B Cells (CD21/35+)
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
parameter_id,IMPC_IMM_067_001
pvalue,0.2425216
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1465vvf5g560x59
