parameter_name,Eye
mouse_life_stage,Early adult
analysis_id,600g555os51691v
pvalue,0.8170097
gene_symbol,Inpp1
gene_accession_id,MGI:104848
mouse_strain,C57BL
parameter_id,M-G-P_013_001_001
