analysis_id,vq4i525w265l88b
mouse_life_stage,E12.5
pvalue,0.4698332
parameter_id,MGP_BMI_019_001
gene_symbol,Mecom
parameter_name,T cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:95457
