gene_symbol,Col6a3
parameter_id,IMPC_EYE_004_001
gene_accession_id,MGI:88461
pvalue,0.360141
parameter_name,Eyelid morphology
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,ui1eg761538b1d6
