gene_symbol,Cntfr
pvalue,0.9854166
gene_accession_id,MGI:99605
parameter_id,MGP_MLN_058_001
parameter_name,Plasmacytoid DC - % of DC
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,5xdu99ezo8jh908
