parameter_name,HRV
parameter_id,IMPC_ECG_010_001
gene_symbol,Snap23
gene_accession_id,MGI:109356
analysis_id,juq9roqfme66o61
mouse_strain,C57BL
pvalue,0.8492005
mouse_life_stage,Early adult
