gene_symbol,Bmi1
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:88174
parameter_id,MGP_IMM_022_001
mouse_strain,C57BL
analysis_id,9d707a98uadfghf
mouse_life_stage,E15.5
pvalue,0.6039063
