analysis_id,82e5z329c3779d3
gene_symbol,Cdin1
pvalue,0.2768279
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
parameter_id,IMPC_CBC_014_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
