analysis_id,4ae97830572cl4a
mouse_strain,C57BL
gene_symbol,Ahctf1
parameter_name,Latency to first transition into dark
mouse_life_stage,Early adult
parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:1915033
pvalue,0.06878161
