analysis_id,zw8cji2yz102120
gene_accession_id,MGI:88174
pvalue,0.6264528
parameter_name,6kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_004_001
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Bmi1
