parameter_id,IMPC_GPO_002_001
gene_symbol,Bcs1l
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914071
parameter_name,Placenta Morphology
analysis_id,38648k32v85v3lj
pvalue,0.8883292
