analysis_id,2v7u6csu09b29pv
gene_accession_id,MGI:1921442
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,IMPC_GRS_011_001
pvalue,0.4583993
mouse_strain,C57BL
gene_symbol,Arpc5l
mouse_life_stage,Early adult
