gene_symbol,Cpa3
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_066_001
pvalue,0.7274796
mouse_strain,C57BL
analysis_id,p100j8o971v3tcy
parameter_name,Sacral processes
