gene_symbol,Alkbh3
mouse_life_stage,Early adult
analysis_id,x565j6weidr76c7
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:1916363
pvalue,0.2266594
parameter_name,LVIDd
