analysis_id,4276dt375m4c4y1
gene_accession_id,MGI:2684980
mouse_strain,C57BL
parameter_id,IMPC_GEL_063_001
gene_symbol,Mms22l
mouse_life_stage,Early adult
parameter_name,Delayed embryonic development
pvalue,0.4315195
