analysis_id,b7759x918my664f
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:1921493
mouse_strain,C57BL
pvalue,0.3194892
mouse_life_stage,Early adult
parameter_id,MGP_MLN_072_001
gene_symbol,Slx4ip
