parameter_id,M-G-P_008_001_013
mouse_strain,C57BL
parameter_name,Startle Response
mouse_life_stage,Early adult
gene_symbol,Abo
analysis_id,52z084tg650i9w1
gene_accession_id,MGI:2135738
pvalue,0.8574993
