analysis_id,5u8d62e0414lhub
gene_accession_id,MGI:95457
gene_symbol,Mecom
mouse_life_stage,E12.5
parameter_id,IMPC_HEM_039_001
pvalue,0.2536943
parameter_name,Large Unstained Cell (LUC) count
mouse_strain,C57BL
