analysis_id,v7211527ulne7s0
gene_accession_id,MGI:1336200
pvalue,0.886935
mouse_life_stage,Late adult
parameter_name,PP3 + pulse startle magnitude
gene_symbol,Hpca
mouse_strain,C57BL
parameter_id,ESLIM_011_001_009
