gene_symbol,Jun
mouse_life_stage,E9.5
parameter_id,MGP_CSD_064_001
mouse_strain,C57BL
gene_accession_id,MGI:96646
pvalue,0.8848521
analysis_id,1ns12i5yysy458j
parameter_name,Head morphology
