analysis_id,610q30lef7717u6
parameter_name,Percent time in dark
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Npbwr1
pvalue,0.8910154
parameter_id,JAX_LDT_008_001
