gene_symbol,Mov10
mouse_strain,C57BL
pvalue,0.7117803
parameter_id,ESLIM_008_001_001
parameter_name,Body position
analysis_id,1037x956189j0x4
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
