analysis_id,do50p2d0927t144
pvalue,0.8778668
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
gene_symbol,Trim46
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
mouse_strain,C57BL
parameter_id,MGP_PBI_010_001
