analysis_id,755ooe8dp51erhq
parameter_name,Center average speed
mouse_strain,C57BL
gene_symbol,Kcng1
gene_accession_id,MGI:3616086
parameter_id,JAXLA_OFD_017_001
mouse_life_stage,Early adult
pvalue,0.8944055
