gene_symbol,Rnf114
analysis_id,f90sh5ri1o30rsn
parameter_name,Coat - hair texture / appearance - abdomen
mouse_strain,C57BL
parameter_id,IMPC_CSD_016_001
pvalue,0.1640777
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
