analysis_id,1qy324h5x58v02c
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
pvalue,0.2891092
mouse_strain,C57BL
parameter_name,White blood cell-count
parameter_id,M-G-P_016_001_001
gene_symbol,Gpbp1l1
