parameter_id,JAXLA_EYE_092_001
mouse_strain,C57BL
gene_accession_id,MGI:1913483
analysis_id,v8xtlx0xsw74a1z
pvalue,0.8938668
gene_symbol,Dmap1
mouse_life_stage,E12.5
parameter_name,Retina (combined)
