parameter_name,Lean/Body weight
parameter_id,JAXLA_DXA_008_001
pvalue,0.491596
gene_symbol,Nr0b2
mouse_strain,B6J
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
analysis_id,po86kt38wa34367
