parameter_name,Ventral coat/hair presence
parameter_id,MGP_CSD_025_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,tp4849n0fw50af6
gene_symbol,Hspa5
pvalue,0.1281584
gene_accession_id,MGI:95835
