analysis_id,nusn34bgiys545j
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cds2
gene_accession_id,MGI:1332236
parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
pvalue,0.7055065
