analysis_id,a34w68r650a1844
mouse_strain,C57BL
pvalue,0.4345673
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
parameter_name,Center permanence time
parameter_id,IMPC_OFD_016_001
mouse_life_stage,E9.5
