analysis_id,7989q389ryb489h
pvalue,0.4193909
parameter_id,HRWLLA_OFD_020_001
mouse_strain,C57BL
gene_symbol,Extl1
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
parameter_name,Distance travelled - total
