parameter_name,BMC/Body weight
mouse_life_stage,Early adult
pvalue,0.09221652
gene_accession_id,MGI:2684980
mouse_strain,129SV
gene_symbol,Mms22l
parameter_id,HRWLLA_DXA_007_001
analysis_id,m38913657lvruz5
