gene_symbol,Orc2
parameter_name,Hindlimbs - size
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,i0r398r08zptg63
gene_accession_id,MGI:1328306
pvalue,0.5260239
parameter_id,JAXLA_CSD_022_001
