parameter_id,IMPC_FEA_107_001
gene_symbol,Zmynd19
pvalue,0.4208661
mouse_strain,C57BL
analysis_id,22t022vx7b8ve01
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
