analysis_id,48mqjh9u9cwe684
parameter_name,Gait
mouse_strain,129SV
pvalue,0.9960219
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_033_001
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
