analysis_id,tb41sh4k6p94z1s
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
parameter_name,Red blood cell count
parameter_id,IMPC_HEM_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.188668
