analysis_id,8731nl053r22h6v
mouse_life_stage,Early adult
pvalue,0.5170668
parameter_name,Coat - hair distribution - back
gene_symbol,Maco1
mouse_strain,C57BL
parameter_id,IMPC_CSD_011_001
gene_accession_id,MGI:1913396
