parameter_name,Snout size
gene_accession_id,MGI:1915087
analysis_id,xu57yn3c6idbm9x
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.21588
gene_symbol,Tiprl
parameter_id,IMPC_CSD_028_001
