analysis_id,7g3x4hz843aw0e9
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP2
pvalue,0.8654275
parameter_id,ESLIM_011_001_702
gene_symbol,Nemp2
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
