parameter_name,Thyroxine
mouse_strain,C57BL
pvalue,0.07113467
gene_symbol,Mms22l
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
parameter_id,IMPC_CBC_053_001
analysis_id,kji5y622m333ta9
