gene_symbol,Sfpq
parameter_id,MGP_MLN_066_001
mouse_life_stage,Early adult
analysis_id,nbmc165l28r690v
mouse_strain,C57BL
pvalue,0.09867378
gene_accession_id,MGI:1918764
parameter_name,Effector CD4+ T helper cells - % of CD45+
