gene_symbol,Etfdh
pvalue,0.7278041
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
parameter_name,Placenta Size
analysis_id,02388k1qc285f29
mouse_strain,C57BL
parameter_id,IMPC_GPP_004_001
